iter	RMSE
0	6.323855801
1	6.001602798
2	5.690624196
3	5.398390146
4	5.115977252
5	4.856402914
6	4.612705841
7	4.382969182
8	4.168046362
9	3.970468121
10	3.779283446
11	3.599298766
12	3.438076048
13	3.286344164
14	3.136663506
15	2.994731793
16	2.865993225
17	2.739345544
18	2.627769697
19	2.522175584
20	2.418714651
21	2.323007826
22	2.239700105
23	2.157690091
24	2.082567443
25	2.011687959
26	1.947928816
27	1.88730214
28	1.827801185
29	1.773412494
30	1.725030235
31	1.677209942
32	1.63137573
33	1.590188922
34	1.554210953
35	1.519525502
36	1.4877671
37	1.456103119
38	1.42676053
39	1.40226418
40	1.37783048
41	1.356053065
42	1.337223088
43	1.318724883
44	1.301293679
45	1.285840828
46	1.270048715
47	1.256816682
48	1.243612275
49	1.230662222
50	1.21956717
51	1.208703532
52	1.198545001
53	1.189981893
54	1.181174403
55	1.173374447
56	1.16604661
57	1.158792827
58	1.151924944
59	1.146128368
60	1.139696517
61	1.134196145
62	1.128643567
63	1.124612204
64	1.119883162
65	1.114702072
66	1.109755255
67	1.105373559
68	1.101743284
69	1.097738246
70	1.093568964
71	1.089933097
72	1.086836622
73	1.083684377
74	1.080281638
75	1.077074225
76	1.074527991
77	1.071479494
78	1.068378715
79	1.065509992
80	1.062592975
81	1.060056563
82	1.057499963
83	1.054970965
84	1.05240811
85	1.050201034
86	1.04806246
87	1.045707652
88	1.043673969
89	1.041741698
90	1.039931007
91	1.038301643
92	1.037116367
93	1.035220737
94	1.033836736
95	1.032025803
96	1.030519088
97	1.029388355
98	1.028042134
99	1.026716612
100	1.025388368
101	1.024433023
102	1.023235716
103	1.021991595
104	1.020773605
105	1.019601934
106	1.018537802
107	1.017422451
108	1.016312644
109	1.015129772
110	1.014034073
111	1.013055205
112	1.012214916
113	1.01155018
114	1.010522124
115	1.009641687
116	1.008646981
117	1.007796794
118	1.006623052
119	1.005611606
120	1.004786132
121	1.004067129
122	1.003268864
123	1.00250679
124	1.001708389
125	1.000888723
126	1.000087119
127	0.9993245024
128	0.9984852842
129	0.9979027766
130	0.997199471
131	0.9966104615
132	0.9959929055
133	0.9952146185
134	0.9947734917
135	0.9941499455
136	0.9934650043
137	0.9926682993
138	0.992117773
139	0.9915067991
140	0.9909305128
141	0.9903618557
142	0.989645523
143	0.9890122669
144	0.9882898999
145	0.9876680504
146	0.9869267421
147	0.9862218863
148	0.9856572991
149	0.9850325967
150	0.9845613451
151	0.9841453469
152	0.9835448667
153	0.9830277757
154	0.9825234758
155	0.9819497307
156	0.9812868311
157	0.9807294246
158	0.9800324009
159	0.9794690436
160	0.978931711
161	0.9782750872
162	0.9777325957
163	0.9772117943
164	0.9765606618
165	0.9760410028
166	0.9754628685
167	0.9749757037
168	0.974414233
169	0.9737463891
170	0.9732842933
171	0.9726266793
172	0.9720869957
173	0.9715668693
174	0.9708639645
175	0.9701933133
176	0.9695043889
177	0.9689613241
178	0.9683332153
179	0.9678618515
180	0.9672958385
181	0.9666752982
182	0.966241576
183	0.9657342119
184	0.965204489
185	0.9647204382
186	0.9641932452
187	0.9637607068
188	0.9632208799
189	0.9628374992
190	0.962259347
191	0.9616757947
192	0.9610622721
193	0.960677815
194	0.9601998032
195	0.9597666579
196	0.9589205445
197	0.9584825026
198	0.9580295467
199	0.9575977161
200	0.9570876615
201	0.9564969587
202	0.9560306406
203	0.9557089062
204	0.9551724357
205	0.9547005377
206	0.9540155023
207	0.9535200164
208	0.9531160483
209	0.952611185
210	0.9520095373
211	0.9514538639
212	0.9510949842
213	0.9505531182
214	0.9501508392
215	0.9496566512
216	0.9490092016
217	0.9485082482
218	0.9479970531
219	0.9475692139
220	0.9470616585
221	0.9465250052
222	0.9460554236
223	0.9456247829
224	0.9452373773
225	0.9445657408
226	0.9441113256
227	0.9436799209
228	0.9432771413
229	0.9428596964
230	0.9424920389
231	0.9421385567
232	0.9417900671
233	0.9413374299
234	0.9408779643
235	0.9403502693
236	0.9400657709
237	0.939554979
238	0.9391285956
239	0.9386715296
240	0.9383455005
241	0.937889161
242	0.9375344818
243	0.9370078869
244	0.9365918036
245	0.9361895704
246	0.9355754228
247	0.9351307415
248	0.9346089295
249	0.9341181089
250	0.9337732027
251	0.9334323401
252	0.9329494464
253	0.932641078
254	0.9320747774
255	0.9317560763
256	0.9312698913
257	0.9309830473
258	0.9304970209
259	0.9299478549
260	0.9294947855
261	0.929045751
262	0.9285970824
263	0.9281925696
264	0.9278420126
265	0.9273266315
266	0.9268737775
267	0.9262996405
268	0.9258314389
269	0.9254052895
270	0.9250890328
271	0.9246701153
272	0.9240751401
273	0.923755234
274	0.9232610776
275	0.9228962268
276	0.9224742949
277	0.9220539673
278	0.9217437998
279	0.9211837888
280	0.9208944771
281	0.9205712593
282	0.9202547886
283	0.919753121
284	0.9193672674
285	0.9186565452
286	0.9181844379
287	0.9177629813
288	0.9174827343
289	0.9169997713
290	0.9165756504
291	0.916142957
292	0.9156505752
293	0.9153949941
294	0.9149370517
295	0.9143773976
296	0.9138657312
297	0.9134908619
298	0.9130523488
299	0.9127511994
300	0.9122137232
301	0.9114732892
302	0.9111514954
303	0.9106224405
304	0.9102989603
305	0.9098635503
306	0.909541962
307	0.9092285303
308	0.9088695581
309	0.9084271177
310	0.9078049026
311	0.9072745687
312	0.9068509445
313	0.9064565569
314	0.9060490945
315	0.9057706996
316	0.9054337222
317	0.9048690561
318	0.9045085
319	0.9041483312
320	0.9038478374
321	0.9034500322
322	0.9030390319
323	0.9026958402
324	0.9023294165
325	0.9019191698
326	0.9015050029
327	0.9010980661
328	0.9008117149
329	0.9003633782
330	0.8998491766
331	0.8993970146
332	0.8989426751
333	0.8984838612
334	0.8980730657
335	0.8976998124
336	0.897311929
337	0.8969382887
338	0.8966127409
339	0.8962473002
340	0.8958904698
341	0.8956265065
342	0.8952781551
343	0.8948235848
344	0.8942589185
345	0.8938128134
346	0.8933479125
347	0.8929983946
348	0.8927458688
349	0.8923316902
350	0.8920288793
351	0.8918489402
352	0.8915708007
353	0.8912623322
354	0.8907590513
355	0.8900858106
356	0.8897115199
357	0.8893282082
358	0.8889688729
359	0.8885045628
360	0.8880965584
361	0.8877136816
362	0.887467567
363	0.8870638887
364	0.8867223576
365	0.8863304313
366	0.885808068
367	0.8854583925
368	0.8851566799
369	0.8847808513
370	0.8841718508
371	0.8838004133
372	0.8833908097
373	0.8831353722
374	0.8827537631
375	0.8821586279
376	0.8816459623
377	0.881294456
378	0.8809276812
379	0.8805938495
380	0.8802527538
381	0.8799995586
382	0.8794957629
383	0.8791223123
384	0.8788840737
385	0.8786126957
386	0.8781911103
387	0.8779354924
388	0.8776024767
389	0.8772259432
390	0.8768451685
391	0.8763237115
392	0.8759147568
393	0.8755397336
394	0.8753188047
395	0.8749428321
396	0.8743057086
397	0.8738073834
398	0.873378855
399	0.8730916317
400	0.8725851537
401	0.8720915338
402	0.87163601
403	0.8713293798
404	0.8709389494
405	0.8705549373
406	0.8702629377
407	0.8699177825
408	0.8696592581
409	0.8692059256
410	0.8685971623
411	0.8682052986
412	0.8679190629
413	0.867536504
414	0.8671716942
415	0.8669003066
416	0.8666028843
417	0.8661267785
418	0.8656731336
419	0.8653207837
420	0.8650367988
421	0.8646277423
422	0.8643022972
423	0.8639282697
424	0.8636774159
425	0.8632176086
426	0.8629350709
427	0.8624176203
428	0.8620328588
429	0.8617448398
430	0.861381594
431	0.8609852399
432	0.8607456704
433	0.860204131
434	0.8597542826
435	0.859439709
436	0.858899943
437	0.8585367193
438	0.8581812379
439	0.857934186
440	0.8575896732
441	0.8572248703
442	0.8568688587
443	0.8564524138
444	0.856088619
445	0.855652763
446	0.8551743435
447	0.8547285349
448	0.8542463993
449	0.8537017572
450	0.8534240531
451	0.853121358
452	0.8526571246
453	0.8522661514
454	0.8518895801
455	0.8516100464
456	0.8514165258
457	0.8510619095
458	0.8506439569
459	0.8500410338
460	0.8496704275
461	0.8492891102
462	0.8488681304
463	0.8485101926
464	0.8482800304
465	0.8478770271
466	0.8473552209
467	0.8470062373
468	0.8466075425
469	0.846406999
470	0.846090097
471	0.8458575834
472	0.8454560663
473	0.8451572366
474	0.8448594371
475	0.844631511
476	0.8442821891
477	0.8439684794
478	0.8437165601
479	0.8433360902
480	0.8430362742
481	0.8426432998
482	0.8422352647
483	0.8418898451
484	0.841514181
485	0.8412033588
486	0.8409169163
487	0.8405339745
488	0.840184714
489	0.8398061699
490	0.8395710812
491	0.8392851226
492	0.8389223884
493	0.8385017236
494	0.8379441999
495	0.8374766953
496	0.8370961555
497	0.8367548274
498	0.8362262693
499	0.8359715203
500	0.8357445779
501	0.8354667577
502	0.8349093278
